iso_code,DSSI Participation,Risk of external debt distress,Risk of overall debt distress,2020 Participant,2021 Participant,indicator,value,update
AFG,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.2," June 18, 2021. T"
AGO,Yes,,,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),1.9," June 18, 2021. T"
BGD,No,Low,Low,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.1," June 18, 2021. T"
BEN,No,Moderate,Moderate,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.1," June 18, 2021. T"
BTN,No,Moderate,,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),5.8," June 18, 2021. T"
BFA,Yes,Moderate,Moderate,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.2," June 18, 2021. T"
BDI,Yes,High,,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.2," June 18, 2021. T"
CPV,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.9," June 18, 2021. T"
KHM,No,Low,Low,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.8," June 18, 2021. T"
CMR,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.9," June 18, 2021. T"
CAF,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.3," June 18, 2021. T"
TCD,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.6," June 18, 2021. T"
COM,Yes,Moderate,Moderate,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.2," June 18, 2021. T"
COD,Yes,Moderate,Moderate,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.3," June 18, 2021. T"
COG,Yes,In distress,In distress,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),1.4," June 18, 2021. T"
CIV,Yes,Moderate,Moderate,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.4," June 18, 2021. T"
DJI,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),1.7," June 18, 2021. T"
DMA,Yes,High,,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.7," June 18, 2021. T"
ETH,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.5," June 18, 2021. T"
FJI,Yes,,,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.2," June 18, 2021. T"
GMB,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.6," June 18, 2021. T"
GHA,No,High,High,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.6," June 18, 2021. T"
GRD,Yes,In distress,In distress,True,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.7," June 18, 2021. T"
GIN,Yes,Moderate,Moderate,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.5," June 18, 2021. T"
GNB,Yes,High,High,True,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.1," June 18, 2021. T"
GUY,No,Moderate,Moderate,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.3," June 18, 2021. T"
HTI,No,High,High,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.5," June 18, 2021. T"
HND,No,Low,Low,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.4," June 18, 2021. T"
KEN,Yes,High,High,False,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.7," June 18, 2021. T"
KIR,No,High,High,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),," June 18, 2021. T"
XKX,No,,,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.1," June 18, 2021. T"
KGZ,No,Moderate,Moderate,True,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.6," June 18, 2021. T"
LAO,No,High,High,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),1.7," June 18, 2021. T"
LSO,Yes,Moderate,Moderate,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.4," June 18, 2021. T"
LBR,No,Moderate,High,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.1," June 18, 2021. T"
MDG,Yes,Moderate,Moderate,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.2," June 18, 2021. T"
MWI,Yes,Moderate,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.2," June 18, 2021. T"
MDV,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.9," June 18, 2021. T"
MLI,Yes,Moderate,Moderate,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.5," June 18, 2021. T"
MHL,No,High,,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),," June 18, 2021. T"
MRT,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),1.1," June 18, 2021. T"
FSM,No,High,High,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),," June 18, 2021. T"
MDA,No,Low,Low,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.2," June 18, 2021. T"
MNG,No,,,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.5," June 18, 2021. T"
MOZ,Yes,In distress,In distress,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),1.9," June 18, 2021. T"
MMR,Yes,Low,Low,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.6," June 18, 2021. T"
NPL,Yes,Low,Low,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.1," June 18, 2021. T"
NIC,No,Moderate,Moderate,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.3," June 18, 2021. T"
NER,Yes,Moderate,Moderate,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.2," June 18, 2021. T"
NGA,No,,,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.0," June 18, 2021. T"
PAK,Yes,,,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),1.3," June 18, 2021. T"
PNG,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),1.3," June 18, 2021. T"
RWA,No,Moderate,Moderate,False,False,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.1," June 18, 2021. T"
WSM,Yes,High,High,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),1.1," June 18, 2021. T"
STP,Yes,In distress,In distress,True,True,Potential DSSI Savings (May - December 2020) (in % 2019 GDP),0.4," June 18, 2021. T"
